﻿area,floors,building_type,damage_level,region,repair_type,restoration_cost
4125,5,Багатоквартирна,Тяжке,м. Харків,Капітальний,39600000
7425,9,Багатоквартирна,Середнє,м. Чернігів,Капітальний,40800000
3300,4,Багатоквартирна,Середнє,м. Миколаїв,Капітальний,29300000
4125,5,Багатоквартирна,Легке,м. Запоріжжя,Капітальний,19200000
9900,12,Багатоквартирна,Тяжке,м. Харків,Капітальний,87100000
7425,9,Багатоквартирна,Тяжке,м. Бахмут,Капітальний,75200000
4125,5,Багатоквартирна,Середнє,м. Слов’янськ,Капітальний,36700000
4125,5,Багатоквартирна,Тяжке,м. Краматорськ,Капітальний,40000000
8250,10,Багатоквартирна,Тяжке,м. Ірпінь,Повна реконструкція,91000000
7425,9,Багатоквартирна,Легке,м. Київ,Поточний,28600000
4125,5,Багатоквартирна,Середнє,м. Херсон,Капітальний,34400000
7425,9,Багатоквартирна,Тяжке,м. Черкаси,Капітальний,65800000
4125,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,47000000
4125,5,Багатоквартирна,Середнє,Київська обл.,Капітальний,30900000
7425,9,Багатоквартирна,Середнє,м. Полтава,Капітальний,41200000
4125,5,Багатоквартирна,Тяжке,м. Суми,Капітальний,38500000
3300,4,Багатоквартирна,Середнє,м. Ізюм,Капітальний,25700000
7425,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,80400000
4125,5,Багатоквартирна,Легке,м. Костянтинівка,Поточний,21300000
4000,5,Багатоквартирна,Середнє,м. Дніпро,Капітальний,20800000
7200,9,Багатоквартирна,Тяжке,м. Харків,Капітальний,64800000
3200,4,Нежитлова,Легке,м. Київ,Поточний,10560000
800,1,Освітня,Середнє,Чернігівська обл.,Капітальний,3520000
2400,3,Багатоквартирна,Легке,Київська обл.,Поточний,7560000
9600,12,Багатоквартирна,Тяжке,м. Миколаїв,Капітальний,91200000
4800,6,Історична пам'ятка,Середнє,м. Львів,Капітальний,28800000
1600,2,Історична пам'ятка,Середнє,м. Львів,Капітальний,9600000
4000,5,Багатоквартирна,Середнє,Сумська обл.,Капітальний,20800000
7200,9,Адміністративна,Тяжке,м. Запоріжжя,Капітальний,57600000
9600,12,Багатоквартирна,Середнє,м. Харків,Капітальний,48000000
3200,4,Нежитлова,Середнє,м. Київ,Капітальний,16800000
7200,9,Багатоквартирна,Середнє,м. Дніпро,Капітальний,37440000
7200,9,Багатоквартирна,Легке,м. Дніпро,Капітальний,21600000
4000,5,Багатоквартирна,Тяжке,м. Харків,Капітальний,36000000
8000,10,Багатоквартирна,Тяжке,м. Харків,Капітальний,72000000
2400,3,Багатоквартирна,Середнє,Київська обл.,Капітальний,12480000
3200,4,Багатоквартирна,Середнє,Київська обл.,Капітальний,16640000
9600,12,Адміністративна,Тяжке,м. Запоріжжя,Капітальний,80640000
4800,6,Історична пам'ятка,Легке,м. Львів,Капітальний,17280000
4000,5,Багатоквартирна,Середнє,м. Миколаїв,Капітальний,20800000
4000,5,Багатоквартирна,Легке,м. Миколаїв,Капітальний,12000000
9600,12,Багатоквартирна,Тяжке,м. Одеса,Капітальний,91200000
7200,9,Багатоквартирна,Середнє,м. Одеса,Капітальний,37440000
3200,4,Нежитлова,Середнє,м. Одеса,Капітальний,16800000
4000,5,Багатоквартирна,Тяжке,Київська обл.,Капітальний,36000000
8000,10,Багатоквартирна,Середнє,Київська обл.,Капітальний,41600000
2400,3,Багатоквартирна,Легке,Київська обл.,Поточний,7200000
7200,9,Адміністративна,Середнє,Київська обл.,Капітальний,37440000
7200,9,Освітня,Тяжке,м. Харків,Капітальний,60480000
7200,9,Багатоквартирна,Середнє,Київська обл.,Капітальний,57624052
7200,9,Багатоквартирна,Тяжке,м. Дніпро,Капітальний,84999841
7200,9,Багатоквартирна,Середнє,м. Дніпро,Капітальний,36595864
7200,9,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,91668437
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,56753765
2400,3,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,50488018
3200,4,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,64471674
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,139636363
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Повна реконструкція,214180976
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,162165984
4000,5,Багатоквартирна,Тяжке,м. Запоріжжя,Капітальний,138064624
3200,4,Освітня,Середнє,м. Харків,Капітальний,60558384
